2025-05-11 19:27, success
2025-05-11 19:13, success
2025-05-11 18:52, success
2025-05-11 18:39, success
2025-05-11 18:13, nodata
2025-05-11 17:48, success
2025-05-11 17:35, success
2025-05-11 17:20, success
2025-05-11 16:55, success
2025-05-11 16:42, success
2025-05-11 16:21, nodata
2025-05-11 15:52, success
2025-05-11 15:39, success
2025-05-11 15:23, success
2025-05-11 14:55, success
2025-05-11 14:42, success
2025-05-11 14:25, success
2025-05-11 13:58, success
2025-05-11 13:45, success
2025-05-11 13:32, success
2025-05-11 13:04, nodata
2025-05-11 12:34, nodata
2025-05-11 11:52, success
2025-05-11 11:39, success
2025-05-11 11:26, success
2025-05-11 11:11, success
2025-05-11 10:50, success
2025-05-11 10:38, success
2025-05-11 10:17, nodata
2025-05-11 09:52, success
2025-05-11 09:39, success
2025-05-11 09:23, success
2025-05-11 08:55, success
2025-05-11 08:38, success
2025-05-11 08:13, nodata
2025-05-11 07:49, success
2025-05-11 07:36, success
2025-05-11 07:22, success
2025-05-11 06:55, success
2025-05-11 06:42, success

